Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_A1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_A2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_A3.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_B1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_B2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_B3.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_C1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_C2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_C3.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_D1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_D2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_D3.raw
O00499	O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	7909.17	10245.4	8583.79	9601.5	10357.5	7376.84			2620.32	2260.27	3426.03	2478.16
O00505	O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	16189.1	12602.3	18021.9	10663.1	10143.2	12711.6	4813.14	3248.29	4549.46	1761.73		2258.32
O00512	O00512	BCL9_HUMAN	BCL9	B-cell CLL/lymphoma 9 protein	20330.9	22763.6	27861.6	64703.6	40242.8	50464.6	86097.7	61079.6	73491.3	78726.9	65030.4	93514.2
O00541	O00541	PESC_HUMAN	PES1	Pescadillo homolog	88061.9	99429	85632.8	101180	77627.2	96416.3	31263.8	47272.9	44507.6	17478.7	27005.4	19176.1
O00559	O00559	RCAS1_HUMAN	EBAG9	Receptor-binding cancer antigen expressed on SiSo cells	14119.8	12968.1	15177.7			10668.4	7116.44					
O00560	O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	17545.8	16441.3	14372.1	12755.9	14024.4	14367.7	7979.4	5357.53	6885.36	2715.73	3134.72	2064.74
O00562	O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	4634.04	4204.48	5409.35	2659.75		5688.54						
O00566	O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	51953.8	41501.1	56622	48206.4	43844.7	50428.1	23429.9	24608.8	20477	8192.55	9067.71	9201.11
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	156890	168166	186496	155937	152184	140741	71908.2	76146.4	78265.6	39521.5	40050.8	40802.5
O00571	O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	84264.4	81921.1	80127	56030.2	72280.9	66053.9	35502.2	30990.3	27055.7	16803.7	21139.3	18664
O00571;O15523	O00571;O15523;Q9NQI0	DDX3X_HUMAN;DDX3Y_HUMAN	DDX3X;DDX3Y	ATP-dependent RNA helicase DDX3X	166048	170134	151422	165254	133827	168220	66081.3	75328.3	74806.8	38284.8	41064	37822.3
O00571;O15523;P17844;Q92841	O00571;O15523;Q92841;P17844	DDX17_HUMAN;DDX3X_HUMAN;DDX3Y_HUMAN;DDX5_HUMAN	DDX17;DDX3X;DDX3Y;DDX5	ATP-dependent RNA helicase DDX3X	154352	160762	300980	194021	129260	266512	93306.8	86815.2	164358	15638	66094.6	72478.4
O00584	O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	20899.9	23502.2	11581.4	31267.5		45141.8			36854.5	29652.1	20006.4	
O00592	O00592	PODXL_HUMAN	PODXL	Podocalyxin	10368.5	10561.1	14207.3	9505.6	3868.5	9980.01	5119.25		5813.49	1419.86	3503.02	2254.83
O00625	O00625	PIR_HUMAN	PIR	Pirin	40821.6	38795.8	42167.1	36078.3	41752.9	44426	21117.5	17077	15381.6	11237.5	10492.5	9428.04
O00629	O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	16049.5	16985.9	35503.8	17697.8	17801.1	11095.7	20476.7					10325.7
O00712	O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	22084.8	24091.3	24470	31681.7	29714.2	37768.9	21855.7		21315.2	52127.9	21243.9	25967.6
O00712;P08651;Q12857	Q12857;O00712;P08651;Q14938	NFIA_HUMAN;NFIB_HUMAN;NFIC_HUMAN	NFIA;NFIB;NFIC	Nuclear factor 1 B-type	37562.1	32304.9	59215.1	52238.8	47651.2	42939.9	23328.4	18598.8	21188.2	7159.17	11472.3	13908.6
O00743	O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	15732	12632.3	13308.5	15658.5	18374.2	14749.7	10242.8	5320.47	8873.6	4511.3	4561.84	5463.28
O00746	O00746	NDKM_HUMAN	NME4	Nucleoside diphosphate kinase, mitochondrial	43714.3	28479.3	15050.7	26114.8	25041.6	29683.4	22580.3	15840.9	15730.2	9781.41	8600.7	4823.7
O00754	O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	5495.04	4223.01	1710.4	3725.9	3508.72	5644.92						
O00763	O00763	ACACB_HUMAN	ACACB	Acetyl-CoA carboxylase 2				5051.63	6657.96	2089.59						
O00763;Q13085	Q13085;O00763	ACACA_HUMAN;ACACB_HUMAN	ACACA;ACACB	Acetyl-CoA carboxylase 2	10894.4	10677.7	6890.1	16325.3	16519.3	10913.2	6501.53	6421.28	5351.71		4445.07	2247.35
O00764	O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	49039.2	41071	56106.4	45285.7	44709.5	51989	22702	23654.9	29832.8	13977.5	12081.4	14621.9
O00767	O00767	SCD_HUMAN	SCD	Stearoyl-CoA desaturase	8745.09	8382	15248.9	10689.2	10707.5	16943.6	2108.76	1989.79	5652.92			
O14497	O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	76538.6	78909.6	92418.9	77793.3	91267.6	68485	35752.4	51148.4	39081	34130.4	36957.7	25304
O14530	O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	6132.11	10627.8	4607.87	9913.7	10663.4	6460.05	7018.69	3431.24	4207.86		2305.32	4675.41
O14544	O14544	SOCS6_HUMAN	SOCS6	Suppressor of cytokine signaling 6	3726.47	4406.39	2036.28	4303.3	4852.26				1427.06			
O14545	O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	3819.46	1967.73	6455.41			1751.97						
O14548	O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	113567	129013	98805.3	158566	125213	117446	106527	78730.5	123101	31743	72908.1	85287.8
O14561	O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	93402.5	96609.6	87331.6	76506.6	79435.8	83876.3	32595	35418	32353.6	17200.8	22234	17162.4
O14562	O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	17748.4	39364.3	17431	15918.3	21185.1	20686.3	10824.3	7090.63		5217	11191.2	
O14578	O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase		7525.79	19271.9	27410.1	30111.4	36642.7	42293.3	33716.8	33470.9	26035.5	25645.9	20164.9
O14579	O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	29286.2	36013.6	32674.8	19752.1	27538.1	28440.5	8053	12494.6	12696.9	4003.27	3958.97	5069.59
O14602	O14602	IF1AY_HUMAN	EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	29063.4	21648	11691	35359.4	23760.4	7496.92	9655.96	14873.4	7952.34	9403.28		
O14602;P47813	O14602;P47813	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	80778.7	98732.8	56268.3	28510.9	30423	80992.5	24407.9	43682.8	47527	7167.37		18595.4
O14617	O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	60040.1	64207.4	50460.4	46647.8	57850.1	54941.4	19635.5	28910.5	25387.5	6850.31	10778.9	14123.8
O14618	O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	26088.7	27154.1	16037.3	24368.7	10626.7	24346.1	5386.27	10990.3	9484.65	6657.64		3865.02
O14639	O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	26925.9	20737.5	23906.4	11229.4	10480	14048.9	8891.56	6909.24	6809.56	4787.53		2203.08
O14641	O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	4723.25	1922.98	2955.85	2667.71		4022.48		1859.02				
O14646	O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1		1561.86	1220.99									
O14646;O14647	O14646;O14647	CHD1_HUMAN;CHD2_HUMAN	CHD1;CHD2	Chromodomain-helicase-DNA-binding protein 1	17407	24095.6	37120.4	16279.2	12967.1	30900.8	19036.1	5332.62	13564.4			
O14646;O14647;Q3L8U1	Q9P2D1;O14646;Q9HCK8;Q3L8U1;O14647;Q8TD26	CHD1_HUMAN;CHD2_HUMAN;CHD9_HUMAN	CHD1;CHD2;CHD9	Chromodomain-helicase-DNA-binding protein 1	12063.4	8696.2	14191.6	5159.62	7377.15	15637.2		4280.2	7839.84		2140.93	2693.04
O14647	O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	5225.44	8646.75	6417.6	8344.53	7855.09	5304.11	3755.54	5082.71			3278.53	2337.13
O14653	O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	2485.94	4489.23		4383.96	5020.01	4347.12		1821.4	2876.91			
O14656	O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	10255.6	8728.75	11167.6	10018.3	12334.6	10006.8	1577.76	4850.64	3819.8		3189.48	3865.18
O14657	O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	18992.3	17022.9	24318.2	19635.1	15483.4	21862.7		13350.1	15922.3		4078.92	
O14662	O14662	STX16_HUMAN	STX16	Syntaxin-16	1890.19	5479.66	1342.63	4116.13	3610.37	4113.64	2096.52		2081.17			
O14672	O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	28780.4	24044.3	30619	22711.7	27372.1	29450.5	14726	16186.2	16516.6	11308.5	6836.52	10439
