Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_A1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_A2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_A3.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_B1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_B2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_B3.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_C1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_C2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_C3.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_D1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_D2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_D3.raw
A0A075B6K2;A0A075B6K5;P80748	A0A075B6K2;A0A075B6K5;P80748	LV312_HUMAN;LV321_HUMAN;LV39_HUMAN	IGLV3-12;IGLV3-21;IGLV3-9	Immunoglobulin lambda variable 3-12	3625.98		4207.26	2349.33	4403.93	1353.03		3323.91				
A0A0B4J2A2;P0DN37	P0DN37;A0A0B4J2A2	PAL4C_HUMAN;PAL4G_HUMAN	PPIAL4C;PPIAL4G	Peptidyl-prolyl cis-trans isomerase A-like 4C	264208	212272	185949	258171	171597	184424	84268.6	83788.7	82691.3	39469.8	38801.6	48645.7
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	30097.4	42892.3	38934.6	44869.6	44226.5	33984.5	31031.9	20871	23300.6	13542.1	13793.3	11132.1
A0A0H2XDD5	A0A0H2XDD5	A0A0H2XDD5_STAA3	SAUSA300_1947	Phi77 ORF031-like protein	6092.63	8313.95	3272.44	14776	15531.1	4132.18	20854.6	6893.6	15977.6	7120.97	12062.4	8106.42
A0A0H2XDD9	A0A0H2XDD9	A0A0H2XDD9_STAA3	SAUSA300_1505	Uncharacterized protein	106502	33171.3	89650.7	127239	114289	126332	227989	132133	129165	177593	131624	152248
A0A0H2XDE4	A0A0H2XDE4	A0A0H2XDE4_STAA3	SAUSA300_0672	Transcriptional regulator, MarR family	1.29208e+06	1.58189e+06	1.54592e+06	2.43192e+06	2.46085e+06	2.35942e+06	2.76451e+06	3.41894e+06	2.99645e+06	2.90786e+06	3.37915e+06	2.7879e+06
A0A0H2XDE9	A0A0H2XDE9	A0A0H2XDE9_STAA3	SAUSA300_2083	Acetyltransferase, GNAT family	117042	91252.9	108450	161784	175915	185092	229411	200977	224771	155726	200504	202152
A0A0H2XDF9	A0A0H2XDF9	ESXD_STAA3	esxD	Type VII secretion system extracellular protein D	12674.9	30101	23228.5	37769.4	32319.7	34740.2	43504.1	48284.1	68715.3	44389.7	48715.8	45329.4
A0A0H2XDH0	A0A0H2XDH0	A0A0H2XDH0_STAA3	glvC	PTS system, arbutin-like IIBC component				12816.7			10791.8	5979.03	7112.72		3558.87	
A0A0H2XDI1	A0A0H2XDI1	A0A0H2XDI1_STAA3	SAUSA300_2351	Zn-binding lipoprotein adcA-like protein	66547.1	60036.5	66691.9	91284.4	101198	102054	123655	99498.4	133774	114341	104993	97118.2
A0A0H2XDI6	A0A0H2XDI6	A0A0H2XDI6_STAA3	SAUSA300_0406	Putative restriction/modification system specificity protein	46191.7	60380.8	45637	76618.7	89737.4	97939.7	146213	99395.6	114864	112465	95651.6	100505
A0A0H2XDJ1	A0A0H2XDJ1	A0A0H2XDJ1_STAA3	deoD	Purine nucleoside phosphorylase DeoD-type	12800	7199.34	12246	25956	24762.3	26148.1	28905.5	33188.6	26511.8	18790.8	25019.3	27317.3
A0A0H2XDJ7	A0A0H2XDJ7	A0A0H2XDJ7_STAA3	recJ	Single-stranded-DNA-specific exonuclease RecJ	32345.8	41083.7	32495.8	72404.9	63395	76814.3	94015.2	73688.3	83707	87092.5	84941.9	81178.6
A0A0H2XDN2	A0A0H2XDN2	A0A0H2XDN2_STAA3	SAUSA300_0212	Oxidoreductase, Gfo/Idh/MocA family	38599.1	35678.2	26394.4	43310.7	74501.8	66183.5	71217.4	78436.6	76723.9	73363	61658.4	76217.7
A0A0H2XDN5	A0A0H2XDN5	A0A0H2XDN5_STAA3	SAUSA300_2043	Uncharacterized protein	10991.6	10465	14003.4	22932.5	24836.8	27592.2	34332.5	34527	21787.7	33349.7	26486.7	36861.3
A0A0H2XDP9	A0A0H2XDP9	A0A0H2XDP9_STAA3	SAUSA300_2357	ABC transporter, ATP-binding protein	219704	230053	189691	430587	450361	401903	478772	502648	471734	575840	456510	503169
A0A0H2XDQ5	A0A0H2XDQ5	A0A0H2XDQ5_STAA3	aur	Neutral metalloproteinase				2137.09	3229.27	2489.52		5239.41	5523.63	3497.7		3373.66
A0A0H2XDR6	A0A0H2XDR6	A0A0H2XDR6_STAA3	parC	DNA topoisomerase 4 subunit A	125926	124094	119750	220909	216667	211819	260081	261335	251546	263668	242446	231059
A0A0H2XDS1	A0A0H2XDS1	A0A0H2XDS1_STAA3	nnrD	ADP-dependent (S)-NAD(P)H-hydrate dehydratase	99994	121566	102289	200292	275162	182241	319283	292622	310903	326801	308879	341464
A0A0H2XDT0	A0A0H2XDT0	A0A0H2XDT0_STAA3	SAUSA300_1986	Nitroreductase family protein	91621.1	84599.1	83114.4	164187	167797	160427	202026	184944	229004	193755	196840	233327
A0A0H2XDT8	A0A0H2XDT8	A0A0H2XDT8_STAA3	prmC	Release factor glutamine methyltransferase	33693.2	36216.9	33083.5	73774.3	78518.3	89302.6	87807.4	83342.4	88538.1	73752.2	74952.5	82071.5
A0A0H2XDU2	A0A0H2XDU2	A0A0H2XDU2_STAA3	SAUSA300_0107	Na/Pi cotransporter family protein	69760.1	69637.1	62853.9	117501	129539	123543	128448	151848	149539	125652	110040	148053
A0A0H2XDU3	A0A0H2XDU3	A0A0H2XDU3_STAA3	SAUSA300_0590	FMN-dependent NADPH-azoreductase	27430.3	36663.9	36602.3	70740	82804.7	78125.2	88651	66146.9	127061	101402	71244.1	78374
A0A0H2XDU9	A0A0H2XDU9	A0A0H2XDU9_STAA3	SAUSA300_0981	Uncharacterized protein	118410	122918	108047	203154	206037	189110	227309	222568	232352	233986	216876	232549
A0A0H2XDV3	A0A0H2XDV3	A0A0H2XDV3_STAA3	folC	Folylpolyglutamate synthase	98290.6	112866	120719	195224	190154	185024	234944	206791	224938	194080	187015	205940
A0A0H2XDW3	A0A0H2XDW3	A0A0H2XDW3_STAA3	hutU	Urocanate hydratase	14369.3	13638.1	11828.6	29312.4	27089.5	30690	26328.3	39089.6	36025.1	22266.9	43349.3	29805.6
A0A0H2XDW4	A0A0H2XDW4	A0A0H2XDW4_STAA3	tcaR	Transcriptional regulator TcaR	246156	253992	260292	498331	418153	438003	517704	533898	510377	463021	491306	502943
A0A0H2XDW9	A0A0H2XDW9	A0A0H2XDW9_STAA3	SAUSA300_2626	Uncharacterized protein	38625.9	34929.5	24234.9	78088.5	58470.9	44410.4	83639.5	81167.8	78292.8	72531.1	67258.7	106492
A0A0H2XDX1	A0A0H2XDX1	A0A0H2XDX1_STAA3	rpiA	Ribose-5-phosphate isomerase A	99829.4	94741	84246.1	174250	200077	199117	259561	223765	232800	226256	227028	209821
A0A0H2XDX3	A0A0H2XDX3	A0A0H2XDX3_STAA3	SAUSA300_0274	Uncharacterized protein	298930	261794	281048	444727	527007	534925	597882	651834	565668	514645	648160	589802
A0A0H2XDX7	A0A0H2XDX7	A0A0H2XDX7_STAA3	SAUSA300_2385	Putative membrane protein	51451.1	39256	37627.3	60128.4	64791.2	65713.8	92066.7	77924.6	78507.7	74081.5	71844.7	82237.4
A0A0H2XDY2	A0A0H2XDY2	A0A0H2XDY2_STAA3	fruA	EIIA	447325	543602	427739	857269	983762	831527	1.05815e+06	1.26717e+06	1.14433e+06	1.08075e+06	989061	958249
A0A0H2XDY4	A0A0H2XDY4	A0A0H2XDY4_STAA3	SAUSA300_1908	Uncharacterized protein	52985.7	50398.4	58802.4	130808	125460	155365	149416	119231	146870	110316	153403	115876
A0A0H2XDY7	A0A0H2XDY7	A0A0H2XDY7_STAA3	SAUSA300_1019	Uncharacterized protein				2010.66	5399.23		2299.75	627.861	2425.73	3039.67	2612.5	3171.17
A0A0H2XDY8	A0A0H2XDY8	A0A0H2XDY8_STAA3	pheA	Prephenate dehydratase	20372.4	10933.4	10344.3	23727.4	23829.9	31570.4	20121.2	28805.7	25748.3	28894.4	19741.8	19952.3
A0A0H2XDZ0	A0A0H2XDZ0	A0A0H2XDZ0_STAA3	SAUSA300_0839	Uncharacterized protein	133263	123913	150950	328132	290426	367416	360156	355661	358653	293997	362015	347036
A0A0H2XDZ4	A0A0H2XDZ4	A0A0H2XDZ4_STAA3	ampA	Cytosol aminopeptidase	70739.9	68620	79932.1	161658	163995	148803	197082	171056	178506	179480	180455	164572
A0A0H2XDZ6	A0A0H2XDZ6	A0A0H2XDZ6_STAA3	SAUSA300_1231	Gamma-aminobutyrate permease	60173.1	39169.6	44872.2	79120.2	48224.6	51009.8	114880	80807.2	57461.5	66028.5	56778.7	57295.7
A0A0H2XDZ9	A0A0H2XDZ9	A0A0H2XDZ9_STAA3	SAUSA300_1631	Replication initiation and membrane attachment protein	18495.3	22011	18304.1	51709.1	36255.7	41086.9	48312.8	51866.7	57776.2	51669.3	35827.7	48845.7
A0A0H2XE00	A0A0H2XE00	A0A0H2XE00_STAA3	panE	2-dehydropantoate 2-reductase	14786.6	16617.8	14572.6	32476.4	39713.9	31167.1	40614.7	30318.3	32872.2	32721.2	44613.5	34470.8
A0A0H2XE01	A0A0H2XE01	A0A0H2XE01_STAA3	rpoF	RNA polymerase sigma factor	66891.5	78559.8	80233.5	140410	154168	159960	185842	190903	181164	177783	174649	176592
A0A0H2XE05	A0A0H2XE05	A0A0H2XE05_STAA3	SAUSA300_1584	ATPase, AAA family	33294	43753.9	51578	96353.1	92707.1	99199	116820	116380	96343.8	82403.3	99034.4	119286
A0A0H2XE07	A0A0H2XE07	A0A0H2XE07_STAA3	SAUSA300_0779	Uncharacterized protein	7348.16	5103.46	4639.37	13154	17551.8	12912.3	15923.4	14243.2	18530.9	13469.8	12201.4	14979.9
A0A0H2XE09	A0A0H2XE09	A0A0H2XE09_STAA3	SAUSA300_2112	Uncharacterized protein	53964.3	63632.9	39615.2	81736.1	96648.4	102290	87119.2	102074	111052	110203	96228.1	111558
A0A0H2XE11	A0A0H2XE11	A0A0H2XE11_STAA3	SAUSA300_0464	Methyltransferase	14407.5	16070.7	14234.6	23342.5	28818.8	26855	31616.3	40517.2	35257.3	34807.2	40148.6	36431.4
A0A0H2XE12	A0A0H2XE12	A0A0H2XE12_STAA3	SAUSA300_0832	Uncharacterized protein	32103	31243.2	38681.8	62291.5	58879.6	55349.7	85750.8	47884.5	77120.1	59201.5	56537.7	67254.9
A0A0H2XE14	A0A0H2XE14	A0A0H2XE14_STAA3	mobB	Molybdopterin-guanine dinucleotide biosynthesis protein B	15428.4	11105.9	14415	20455.9	26783.2	24234.5	33556.5	30992.8	29396.4	28951.5	31324.2	31770.3
A0A0H2XE16	A0A0H2XE16	A0A0H2XE16_STAA3	SAUSA300_1510	5-formyltetrahydrofolate cyclo-ligase	27559.6	36730.7	50756.6	68145.6	46194.4	71977.2	77808.9	61797.8	105102	65163.9	63771.7	82663.1
A0A0H2XE18	A0A0H2XE18	A0A0H2XE18_STAA3	SAUSA300_1805	Putative tRNA (cytidine(34)-2'-O)-methyltransferase	158211	133581	167979	302457	305413	306696	414172	380492	355359	310215	359528	364157
A0A0H2XE20	A0A0H2XE20	A0A0H2XE20_STAA3	SAUSA300_2295	Uncharacterized protein	93321.1	78940.7	66696.4	178778	114076	114828	200226	174774	137238	136829	126017	133098
A0A0H2XE31	A0A0H2XE31	A0A0H2XE31_STAA3	SAUSA300_2402	Antitoxin	67385.9	88721.9	67486.9	139505	122488	109085	144405	148316	144623	138891	131065	139513
A0A0H2XE36	A0A0H2XE36	A0A0H2XE36_STAA3	SAUSA300_1085	S4 domain-containing protein	10273.1	8326.34	5495.03	13459.9	13204.4	17919.9	23565.9	14921	17391.7	19271.8	19267.3	11000.1
A0A0H2XE39	A0A0H2XE39	A0A0H2XE39_STAA3	SAUSA300_0592	Uncharacterized protein	56376.6	64765.6	65378.3	110385	130774	129825	138143	149296	134128	132761	153049	148216
A0A0H2XE42	A0A0H2XE42	A0A0H2XE42_STAA3	SAUSA300_0940	Uncharacterized protein	5544.6	1341.81	3656.66	2288.92	3873.44	4792.75		4640.4	13180.7	2770.18	7286.38	6222
A0A0H2XE45	A0A0H2XE45	A0A0H2XE45_STAA3	SAUSA300_2065	UDP-N-acetylglucosamine 2-epimerase	241488	249334	257850	417576	469260	419283	517938	458544	541701	545191	416581	440739
A0A0H2XE48	A0A0H2XE48	A0A0H2XE48_STAA3	rimI	[Ribosomal protein S18]-alanine N-acetyltransferase	14793.6	11524.7	17126.7	18335.5	21569.5	21366.8	16835.1	41908.6	21900.4	21425.9	19620.3	15252
A0A0H2XE49	A0A0H2XE49	A0A0H2XE49_STAA3	SAUSA300_0534	Amidohydrolase	67803.6	59062.3	65689.9	122011	129359	115977	124286	147252	140686	123651	142493	137087
A0A0H2XE52	A0A0H2XE52	A0A0H2XE52_STAA3	SAUSA300_0214	Uncharacterized protein	5721.63	9854.73	12609.8	19296.4	20649.1	23153.9	19505.8	27084.7	27045.1	21463.1	22940.2	13201.8
A0A0H2XE54	A0A0H2XE54	A0A0H2XE54_STAA3	SAUSA300_1552	Uncharacterized protein	117471	111367	113892	194752	237430	228014	246761	265914	231843	205530	238712	226284
A0A0H2XE56	A0A0H2XE56	A0A0H2XE56_STAA3	SAUSA300_2447	Uncharacterized protein	258708	242753	145680	477563	555913	377762	458411	480143	484187	489832	431352	444509
A0A0H2XE57	A0A0H2XE57	A0A0H2XE57_STAA3	SAUSA300_1520	Uncharacterized protein	141308	152071	144252	281877	387669	288669	398969	470176	312100	348645	383490	390941
A0A0H2XE61	A0A0H2XE61	A0A0H2XE61_STAA3	SAUSA300_2399	ABC transporter, ATP-binding protein	50233.8	42664.3	43792.4	90884.3	93153.9	57687.7	98365.1	92700	100020	109356	96795.4	83968.5
A0A0H2XE63	A0A0H2XE63	A0A0H2XE63_STAA3	SAUSA300_0577	Putative transcriptional regulator	12359.3	18400.1	11759.2	22639.2	33532.9	30005.4	26916.1	35615.9	34704.8	34476.1	47579.5	22957.1
A0A0H2XE66	A0A0H2XE66	A0A0H2XE66_STAA3	SAUSA300_1534	Uncharacterized protein	386342	384396	283175	718141	653676	931083	974022	714732	650624	816646	921351	627700
A0A0H2XE67	A0A0H2XE67	A0A0H2XE67_STAA3	SAUSA300_1161	Ribosomal protein L7Ae	105429	117714	96853.1	193534	168213	168901	191156	207679	222096	190733	261508	171706
A0A0H2XE73	A0A0H2XE73	A0A0H2XE73_STAA3	xerD	Tyrosine recombinase XerD	28736.2	23596.3	31315.8	61340.6	49692.4	45303.4	69675.7	63868.3	53759.3	54840.8	65643.4	56797.8
A0A0H2XE76	A0A0H2XE76	A0A0H2XE76_STAA3	SAUSA300_1458	Glyoxalase family protein	122932	128783	167277	275052	216689	331931	265255	274478	242707	242509	323369	229043
A0A0H2XE79	A0A0H2XE79	A0A0H2XE79_STAA3	SAUSA300_0233	Uncharacterized protein							6434.92				4354.12	5340.46
A0A0H2XE82	A0A0H2XE82	A0A0H2XE82_STAA3	treR	Trehalose operon repressor	12494					2445.15	3756.73	7892.44	6710.97	6784.55	4318.46	6474.12
A0A0H2XE83	A0A0H2XE83	A0A0H2XE83_STAA3	SAUSA300_2324	PTS system, sucrose-specific IIBC component	5069.05	4527.73	5462.66	16076.4	10966.2	18597.1	12585.9	13560.6	16243.4	18033.7	21226.1	20650.7
A0A0H2XE84	A0A0H2XE84	A0A0H2XE84_STAA3	SAUSA300_1350	Uncharacterized protein	188357	177835	239233	498741	381771	587716	528659	476813	626584	538385	565128	523464
A0A0H2XE87	A0A0H2XE87	A0A0H2XE87_STAA3	manA	Mannose-6-phosphate isomerase	39651.8	67523.7	40892.2	97686.5	97553.7	106405	130145	84918.7	131415	118104	120250	154189
A0A0H2XE88	A0A0H2XE88	A0A0H2XE88_STAA3	SAUSA300_1342	Uncharacterized protein	5400.54	4567.02	4119.2	14361.8	17636.4	7027.35	12238.7	13402.5	12023.9	12159.4	10946.8	10102.6
A0A0H2XE91	A0A0H2XE91	A0A0H2XE91_STAA3	SAUSA300_2330	Uncharacterized protein	59217.1	96881.9	113837	122256	166326	151788	102054	178958	148445	176775	100831	219339
A0A0H2XE92	A0A0H2XE92	A0A0H2XE92_STAA3	SAUSA300_2206	Uncharacterized protein	56174.1	23757.9	61824.7	14346.6	52783.2	72538.4	37773.6	14320.2	40113.5	32991.4	44475.6	30596.8
A0A0H2XEA1	A0A0H2XEA1	A0A0H2XEA1_STAA3	SAUSA300_0798	Lipoprotein	127239	115048	118994	271164	211604	266872	340926	321038	264353	262016	344366	313888
A0A0H2XEA4	A0A0H2XEA4	A0A0H2XEA4_STAA3	tetR	Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR	34104.4	25539.6	36392.7	61533.7	72755.2	102505	111267	94550.9	81632.5	78843.3	108046	86714.4
A0A0H2XEA5	A0A0H2XEA5	A0A0H2XEA5_STAA3	tag	DNA-3-methyladenine glycosidase	57716.3	55275.5	55748.1	99507	87276.3	90679.5	128461	121226	135247	104263	121719	106057
A0A0H2XEA7	A0A0H2XEA7	A0A0H2XEA7_STAA3	spsB	Signal peptidase I	247039	225844	277677	476310	442660	444414	588702	571821	520626	504772	516756	516820
A0A0H2XEB0	A0A0H2XEB0	A0A0H2XEB0_STAA3	SAUSA300_2136	Iron compound ABC transporter, iron compound-binding protein	215608	185959	198107	468528	382422	433865	478027	556277	531716	462509	539617	474441
A0A0H2XEB3	A0A0H2XEB3	A0A0H2XEB3_STAA3	SAUSA300_0439	Uncharacterized protein	9947.93	12334	12169.5	16566.3	17245.3	17976.6	20623.9	26841.3	15841.2	16721.7	20837.8	11124.4
A0A0H2XEB5	A0A0H2XEB5	A0A0H2XEB5_STAA3	rumA	RNA methyltransferase, TrmA family	55120.7	64859.2	65366.5	124323	111038	131430	152846	144667	140201	138071	145722	136254
A0A0H2XEB7	A0A0H2XEB7	A0A0H2XEB7_STAA3	SAUSA300_0729	Integral membrane protein	33366.9	41975.5	29501.4	51552.6	45434.8	72540.2	41757.6	43408.3	53753.4	53650.8	49156.8	52692.1
A0A0H2XEB8	A0A0H2XEB8	A0A0H2XEB8_STAA3	SAUSA300_0813	Uncharacterized protein	672.91			4056.26	1915.91	3903.83	5004.74	5682.13	9980.4	2685.59		7365.44
A0A0H2XEC3	A0A0H2XEC3	A0A0H2XEC3_STAA3	SAUSA300_1197	Glutathione peroxidase	191066	242722	161523	408559	385478	394323	425479	514299	452739	516414	604698	482626
A0A0H2XEC4	A0A0H2XEC4	A0A0H2XEC4_STAA3	SAUSA300_2232	Acetyltransferase, GNAT family	15565.3	14378.8	17267.5	48533.3	39188.9	60482.4	36140.8	53060.1	46249.7	55762.4	69355.3	42264.8
A0A0H2XED1	A0A0H2XED1	A0A0H2XED1_STAA3	SAUSA300_0568	Integral membrane protein	18473.9	16452.7	10939.6	35260.9	48740.4	67514.5	30730.8	59780.1	71980.7	57886.6	47495.1	87577.7
A0A0H2XED3	A0A0H2XED3	A0A0H2XED3_STAA3	SAUSA300_0649	Uncharacterized protein	171223	162086	168014	348937	287559	335729	358624	335135	383805	331084	383539	346180
A0A0H2XED7	A0A0H2XED7	A0A0H2XED7_STAA3	SAUSA300_0733	DegV family protein	34250.5	45979.1	41250.4	66856.9	67039.2	76785.3	76418.1	76531.2	86703.9	73516.1	90841.7	99460.2
A0A0H2XED8	A0A0H2XED8	A0A0H2XED8_STAA3	SAUSA300_0564	Uncharacterized protein	6515.06	3179.86	7948.25	13763	15733.8	20771.4	14115.9	10541.8	26665.9	21132.8	21062.9	16191.5
A0A0H2XED9	A0A0H2XED9	A0A0H2XED9_STAA3	SAUSA300_0628	Teichoic acid biosynthesis protein D	92737.6	116518	105211	189249	163770	181064	239720	207063	257406	231418	206214	251629
A0A0H2XEE1	A0A0H2XEE1	A0A0H2XEE1_STAA3	SAUSA300_0544	Hydrolase, haloacid dehalogenase-like family	373762	402225	455284	696488	521423	620349	679008	774116	979165	737032	702396	846543
A0A0H2XEE2	A0A0H2XEE2	A0A0H2XEE2_STAA3	SAUSA300_2146	Zinc-type alcohol dehydrogenase-like protein	38964.6	29652.2	34133.4	52124.8	50031.4	56810.8	81498.1	69863.3	75904.2	78964.4	76776.9	78715.9
A0A0H2XEE7	A0A0H2XEE7	A0A0H2XEE7_STAA3	SAUSA300_2343	Nitrate reductase (quinone)	418134	439939	413766	750496	747633	764121	932930	909178	911895	898173	867600	872434
A0A0H2XEF0	A0A0H2XEF0	A0A0H2XEF0_STAA3	SAUSA300_1456	Alpha-amylase	41809.7	25223.2	40731.8	57002.6	45184.7	44394.6	79216	65795.9	55250.5	43501	59764.5	52147.2
A0A0H2XEF1	A0A0H2XEF1	A0A0H2XEF1_STAA3	SAUSA300_1465	2-oxoisovalerate dehydrogenase, E1 component, beta subunit	460737	525105	447744	815830	1.10466e+06	949249	1.15463e+06	1.06982e+06	1.27715e+06	980920	1.14959e+06	1.14806e+06
A0A0H2XEF4	A0A0H2XEF4	A0A0H2XEF4_STAA3	folB	7,8-dihydroneopterin aldolase	18036.6	19327.1	17959.4	46718.9	45768	40038.2	43633.9	54282.5	48031.6	43278.2	50961.8	53717.2
A0A0H2XEF6	A0A0H2XEF6	A0A0H2XEF6_STAA3	deoD	Purine nucleoside phosphorylase DeoD-type	1.34467e+06	1.34491e+06	1.46905e+06	2.52768e+06	2.60953e+06	2.64757e+06	3.21123e+06	3.243e+06	3.15147e+06	3.20235e+06	3.13406e+06	3.06785e+06
A0A0H2XEG5	A0A0H2XEG5	A0A0H2XEG5_STAA3	SAUSA300_0486	Polyribonucleotide nucleotidyltransferase	740154	731247	627996	1.56954e+06	1.30602e+06	1.65158e+06	1.91612e+06	1.48147e+06	1.72078e+06	1.81718e+06	1.41347e+06	1.67798e+06
A0A0H2XEG6	A0A0H2XEG6	A0A0H2XEG6_STAA3	recQ	DNA helicase	31143.6	36778.5	43320.1	70859.9	67521.8	76515.5	91721.8	75791.8	89029.4	77477.8	102854	88150.1
A0A0H2XEG8	A0A0H2XEG8	A0A0H2XEG8_STAA3	SAUSA300_0785	Acetyltransferase, GNAT family	7874.49	17946.3	11977.6	33767.4	21705.1	30512.1	19344.8	57998.7	47122.1	24873.1	22889.3	51173.3
A0A0H2XEH0	A0A0H2XEH0	A0A0H2XEH0_STAA3	treC	Alpha,alpha-phosphotrehalase	78349.6	67434.8	65130.7	159253	212883	166544	201306	224318	166919	200001	191611	199778
A0A0H2XEH4	A0A0H2XEH4	A0A0H2XEH4_STAA3	gltB	Glutamate synthase, large subunit	10887.1	12931.9	15052.8	19664.7	25321.1	26406.6	28421.7	26874.7	28229.2	20034.4	29995.8	30765.1
A0A0H2XEH6	A0A0H2XEH6	A0A0H2XEH6_STAA3	SAUSA300_1088	Glyoxalase family protein						2414.79	4223.57	5225.76	802.071	1653		4834.93
A0A0H2XEH7	A0A0H2XEH7	A0A0H2XEH7_STAA3	SAUSA300_1890	Staphopain A	16723.9	17383.9	19339.2	29430.1	26056.9	27743.4	38213	37597.2	37046.4	34213.2	33641	41494.6
A0A0H2XEH9	A0A0H2XEH9	A0A0H2XEH9_STAA3	SAUSA300_2614	Putative lipoprotein		1198.71			1503.96			2283.25	3444.93	2217.33		1994.3
A0A0H2XEI1	A0A0H2XEI1	A0A0H2XEI1_STAA3	SAUSA300_1236	Uncharacterized protein	23650	26548.7	30214.9	44539.4	47936.1	37012.1	45231.9	52604.6	50321.9	27950.3	47950.7	45078.9
A0A0H2XEI2	A0A0H2XEI2	A0A0H2XEI2_STAA3	SAUSA300_2412	Uncharacterized protein	4215.64	4266.03	2535	4552.7	6422.34	5893.15	8538.48	5856.95	5829.42	9546.9	7099.46	7092.22
A0A0H2XEI4	A0A0H2XEI4	A0A0H2XEI4_STAA3	nusG	Transcription termination/antitermination protein NusG	412662	443650	427469	778675	767577	792543	908069	924834	943876	850550	840635	852042
A0A0H2XEJ4	A0A0H2XEJ4	A0A0H2XEJ4_STAA3	cinA	Putative competence-damage inducible protein	75651.9	69696.6	71659.9	133989	123018	137111	135209	144332	162817	136936	146998	147587
A0A0H2XEJ5	A0A0H2XEJ5	A0A0H2XEJ5_STAA3	moaD	Molybdopterin synthase sulfur carrier subunit	93282.8	108414	89584.3	263019	294510	196156	310523	278828	181984	212645	169850	176538
A0A0H2XEK0	A0A0H2XEK0	A0A0H2XEK0_STAA3	nrdG	Anaerobic ribonucleoside-triphosphate reductase-activating protein	8868.71	6693.91	3528.72		4576.8	8114.33	12928.9	7756.74	4012.88	6374.88	7581.54	22181.2
A0A0H2XEK5	A0A0H2XEK5	A0A0H2XEK5_STAA3	fhuA	Ferrichrome transport ATP-binding protein fhuA	94088.9	81739.4	84014.7	167477	186746	155568	223863	240309	253953	235208	204726	240976
A0A0H2XEK9	A0A0H2XEK9	A0A0H2XEK9_STAA3	fumC	Fumarate hydratase class II	447661	401736	433583	946710	882756	856913	1.06471e+06	1.07666e+06	1.10048e+06	1.04723e+06	987477	1.0707e+06
A0A0H2XEL0	A0A0H2XEL0	A0A0H2XEL0_STAA3	rsmI	Ribosomal RNA small subunit methyltransferase I	25504.8	28656.2	32800.8	32753.8	41723.4	41504.1	44678.3	44215.7	35207.7	51469.5	55792.6	37026.4
A0A0H2XEL4	A0A0H2XEL4	A0A0H2XEL4_STAA3	SAUSA300_1938	Phi77 ORF006-like protein, putative capsid protein	6056.84	8282.82	8949.05	10818.3	13364.7	11045.9	16627.4	14886.6	16013.6	10854.7	11820.2	8592.23
A0A0H2XEL6	A0A0H2XEL6	A0A0H2XEL6_STAA3	SAUSA300_1272	Uncharacterized protein	27472.4	29732.3	26581.4	51713.1	56413.4	65545.9	67321.1	62594.2	69087.5	47490.9	67743.9	64136.2
A0A0H2XEL7	A0A0H2XEL7	A0A0H2XEL7_STAA3	ssaA	Secretory antigen SsaA	133686	184772	140045	273766	294742	312617	358502	389335	374631	393454	473805	316569
